obsid,uid,ra,dec,snrg,snrr,teff,logg,loghe
1205810033,L16286756230502,135.186892,0.96188,88.18,87.27,29705±585,6.0±0.11,-3.71±0.76
1206506069,L16556289356652,85.256949,9.102741,20.25,13.98,25558±924,5.63±0.1,-2.6±0.12
1206512110,L16282811199996,84.727644,10.753608,17.89,11.8,31049±690,5.38±0.11,-1.68±0.07
1206610224,L16276316797571,127.154812,-1.12279,37.7,24.38,32495±245,5.8±0.04,-1.1±0.03
1206612149,L15779038492701,128.770848,1.235389,24.43,15.86,28060±546,5.57±0.08,-3.4±0.36
1207004159,L9471218812662,56.979125,-2.703177,126.86,157.25,25380±1441,5.17±0.13,-2.24±0.08
1207015130,L9471448701811,56.982961,-2.0566,92.79,86.41,25304±5273,5.0±0.54,-3.49±2.01
1207103008,L16629335974927,82.174236,31.805674,55.75,47.59,26810±580,5.29±0.06,-2.67±0.09
1207202078,L16401993521404,148.984778,36.353562,30.31,36.26,33159±687,5.76±0.12,-2.69±0.37
1207301036,L15127803190584,198.576065,49.997786,32.21,41.52,33979±555,5.99±0.11,-3.34±0.81
1207509064,L16015649105451,132.251201,2.669928,107.16,126.02,24954±1391,5.2±0.15,-3.52±0.47
1207903012,L15163526830004,209.910041,46.205292,47.9,53.88,26969±1196,5.2±0.13,-3.91±0.79
1208207192,L15562630472712,152.285485,1.540266,52.57,61.0,48984±1396,6.2±0.09,-3.62±0.2
1208208089,L15564032292593,152.981069,3.251556,58.91,67.9,38643±698,6.17±0.09,-4.03±0.86
1208413243,L15230285874813,220.888047,24.911516,115.33,142.52,28477±1726,5.7±0.33,-3.01±1.36
1208713076,L15437213419795,231.369472,63.162598,74.22,78.71,32295±2021,5.47±0.22,-3.7±5.09
1208810144,L15654151899911,139.962682,1.681485,44.99,47.5,31246±371,6.1±0.08,-3.7±0.72
1209010223,L15778843340015,96.8784,7.927376,72.91,87.9,21798±791,5.0±0.1,-2.33±0.12
1209115149,L15996157282826,123.042748,66.844912,38.5,43.81,38728±1138,5.29±0.1,-2.09±0.16
1214003087,L15546559872381,140.802934,1.782991,111.33,116.81,26999±955,5.06±0.11,-3.26±0.31
1221703049,L14821389548457,215.366113,71.405917,451.18,392.71,26660±270,5.41±0.03,-4.0±0.23
1223114240,L16010443721080,96.099595,9.826069,204.53,228.25,26999±5721,5.36±0.33,-2.47±0.3
1223202154,L11620305801656,231.51512,-9.011138,32.31,36.7,36504±648,5.52±0.1,-1.65±0.08
1223311074,L16196229753596,105.87438,9.783824,80.04,65.95,41355±168,5.56±0.03,-0.35±0.03
1223313148,L16200088236201,107.962284,8.806504,197.81,215.27,42511±1658,5.36±0.11,-2.39±0.1
1223402097,L10033966293296,133.415152,-1.401921,34.9,48.7,38346±770,6.11±0.1,-2.42±0.24
1223508223,L15426159663168,176.124705,16.746388,25.08,17.11,36756±680,5.31±0.09,-2.15±0.14
1223607090,L15152473075475,204.698157,32.751565,42.5,52.68,29864±732,5.1±0.11,-4.0±0.74
1224101063,L15888039353054,133.301872,62.745896,390.08,520.92,22661±329,5.0±0.08,0.09±0.06
1228806094,L14321052533447,269.941355,14.655779,63.02,75.38,35225±1622,5.51±0.22,-2.95±0.67
1228909182,L16450291443802,141.670342,40.280054,68.7,84.97,28103±1020,5.1±0.13,-3.57±0.56
1229203075,L15339653582604,238.597213,31.159601,42.68,45.44,40102±839,6.08±0.1,-3.06±0.58
1229403200,L15176080909139,198.120022,45.688716,83.35,94.1,39691±696,5.61±0.07,-3.7±1.21
1229515165,L15340886090555,234.022576,30.606782,57.58,66.66,38774±657,6.2±0.09,-3.29±0.8
1229515174,L15340947731676,234.37241,30.74829,39.6,48.06,38811±739,6.1±0.1,-3.7±1.6
1235703054,L14749001647796,241.903009,61.861108,79.9,95.9,31570±769,5.1±0.12,-3.51±0.61
1235703100,L14748940636988,242.088426,62.498485,125.4,143.86,33453±531,5.93±0.09,-4.06±2.07
1235703181,L14779030969724,241.561625,62.670881,52.09,60.13,30144±599,5.1±0.09,-3.01±0.24
1235904229,L15399964966967,179.242618,7.257803,38.2,47.5,35499±686,5.35±0.11,-1.54±0.06
1236002144,L14970249348650,210.364884,6.019638,32.94,44.63,38976±773,6.24±0.11,-2.78±0.42
1236110212,L14775964136043,230.169823,58.721666,45.79,57.46,36041±674,5.59±0.08,-4.0±0.53
1236204025,L14027023786046,284.242833,39.143242,240.29,295.16,22654±254,5.0±0.03,-0.77±0.04
1236209031,L14024721452498,285.674181,40.238672,144.57,199.31,36891±530,6.08±0.22,0.21±0.58
1246407016,L14832785332079,212.929846,67.630907,92.72,109.67,34685±1300,6.02±0.25,-2.08±0.39
1246514074,L15310884066884,240.297392,41.471828,110.78,143.02,39440±609,6.06±0.09,-3.7±1.41
1246712049,L14473220571506,238.253597,14.725215,433.48,479.57,28298±1571,5.98±0.19,-3.81±1.78
1246807207,L14044881469714,288.637879,34.440269,42.54,37.88,34656±475,5.21±0.06,-2.75±0.19
1246815036,L14082814112651,288.460212,37.523746,40.83,17.16,31499±501,5.22±0.07,-2.29±0.1
1246815132,L14079385707573,287.854864,36.927072,47.52,37.34,23704±623,5.0±0.07,-2.59±0.11
1246815203,L14079301914591,287.952784,37.53848,43.18,34.85,36841±324,5.54±0.05,-1.41±0.04
1246815231,L14079729599645,286.960111,37.467833,75.92,73.17,36148±295,5.41±0.04,-1.55±0.06
1246913245,L14046997693888,290.087349,36.796165,92.72,139.61,24169±3580,5.12±0.44,-1.14±0.37
1246914151,L14079066494791,285.534713,36.651404,102.27,82.94,41780±4711,5.1±0.23,-3.09±1.58
